x_RecommendationDescription,x_RecommendationSolution,x_RecommendationImpact,x_RecommendationCategory,x_RecommendationProvider,x_RecommendationTypeId,x_RecommendationControl,x_RecommendationMaturityLevel,x_ResourceType,x_RecommendationId,recommendationSource,SourceFile,description,acorlGuid,recommendationTypeId,recommendationControl,recommendationImpact,recommendationResourceType,recommendationMetadataState,remediationAction,potentialBenefits,pgVerified,publishedToLearn,automationAvailable,tags,learnMoreLink,SourceType,x_RecommendationDetails,x_ResourceGroupName,ResourceCategory,x_RecommendationDate
Determine the Right Blob Storage Tier,"Select the appropriate Blob Storage tier (Hot, Cool, or Archive) based on access frequency and cost.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,microsoft.storage/storageaccounts,6613e168-6d78-4dfe-85b0-e15df102bdec,Manual,content/azure-resources/storage/blob/recommendations.yaml,Determine the Right Blob Storage Tier,6613e168-6d78-4dfe-85b0-e15df102bdec,,UsageOptimization/OptimizeResources,Medium,microsoft.storage/storageaccounts,Active,"Select the appropriate Blob Storage tier (Hot, Cool, or Archive) based on access frequency and cost.
",Optimize cost,False,False,False,,"[{'name': 'Access tiers for blob data', 'url': 'https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-overview'}]",YAML,,,,
Optimize costs by automatically managing the data lifecycle,"Enable lifecycle management policies to automatically move data to the appropriate storage tier.
",Medium,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,microsoft.storage/storageaccounts,f6a53c88-9d40-4cee-9c89-36e9e4a1c29e,Manual,content/azure-resources/storage/blob/recommendations.yaml,Optimize costs by automatically managing the data lifecycle,f6a53c88-9d40-4cee-9c89-36e9e4a1c29e,,UsageOptimization/OptimizeResources,Medium,microsoft.storage/storageaccounts,Active,"Enable lifecycle management policies to automatically move data to the appropriate storage tier.
",Optimize cost,False,False,False,,"[{'name': 'Lifecycle management policies', 'url': 'https://learn.microsoft.com/en-us/azure/storage/blobs/lifecycle-management-overview?tabs=azure-portal'}]",YAML,,,,
Determine if your workload needs Azure Premium SSD performance or if Azure Standard HDD storage is enough,"If you need high IOPS, fast data transfer speeds, or low latency, opt for premium Azure file shares. Note that NFS Azure file shares are only available on the premium tier, and NFS and SMB file shares cost the same on this tier.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/disks,c065d74b-d117-4851-b525-b7c4ebd0a4a3,Manual,content/azure-resources/storage/fileServices/recommendations.yaml,Determine if your workload needs Azure Premium SSD performance or if Azure Standard HDD storage is enough,c065d74b-d117-4851-b525-b7c4ebd0a4a3,,UsageOptimization/OptimizeResources,Low,Microsoft.Compute/disks,Active,"If you need high IOPS, fast data transfer speeds, or low latency, opt for premium Azure file shares. Note that NFS Azure file shares are only available on the premium tier, and NFS and SMB file shares cost the same on this tier.
",Optimize cost,False,False,False,,"[{'name': 'Understand and optimize Azure file share performance', 'url': 'https://learn.microsoft.com/en-us/azure/storage/files/understand-performance'}]",YAML,,,,
"If using premium shares, provision enough capacity and performance for your workload without incurring unnecessary costs","We recommend overprovisioning by two to three times. You can dynamically scale premium file shares up or down depending on your storage and input/output (IO) performance characteristics.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/disks,9ec1f442-ca32-4cb2-aa8d-c11de74a323b,Manual,content/azure-resources/storage/fileServices/recommendations.yaml,"If using premium shares, provision enough capacity and performance for your workload without incurring unnecessary costs",9ec1f442-ca32-4cb2-aa8d-c11de74a323b,,UsageOptimization/OptimizeResources,Low,Microsoft.Compute/disks,Active,"We recommend overprovisioning by two to three times. You can dynamically scale premium file shares up or down depending on your storage and input/output (IO) performance characteristics.
",Optimize cost,False,False,False,,"[{'name': 'Architecture best practices for Azure Files', 'url': 'https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-files#design-checklist-1'}]",YAML,,,,
Choose the most cost-effective access tier,"Standard SMB Azure file shares offer three access tiers: transaction optimized, hot, and cool. All three tiers are stored on the same standard storage hardware. The main difference for these three tiers is their data at rest storage prices, which are lower in cooler tiers, and the transaction prices, which are higher in cooler tiers
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/disks,f0cd22ef-af24-44cf-b81b-aec73a27295c,Manual,content/azure-resources/storage/fileServices/recommendations.yaml,Choose the most cost-effective access tier,f0cd22ef-af24-44cf-b81b-aec73a27295c,,UsageOptimization/OptimizeResources,Low,Microsoft.Compute/disks,Active,"Standard SMB Azure file shares offer three access tiers: transaction optimized, hot, and cool. All three tiers are stored on the same standard storage hardware. The main difference for these three tiers is their data at rest storage prices, which are lower in cooler tiers, and the transaction prices, which are higher in cooler tiers
",Optimize cost,False,False,False,,"[{'name': 'Understand Azure Files billing models', 'url': 'https://learn.microsoft.com/en-us/azure/storage/files/understanding-billing#differences-in-standard-tiers'}]",YAML,,,,
Set retention periods for the soft-delete feature,"Start with a short retention period to understand its billing impact. The minimum recommended period is seven days. Soft-deleted standard and premium file shares are billed as used capacity. Premium file shares are billed at the snapshot rate, while standard file shares are billed at the regular rate during the soft-delete state.
",Low,Cost,Microsoft.FinOpsToolkit,,UsageOptimization/OptimizeResources,Preview,Microsoft.Compute/disks,b92dc04e-8464-4352-aba6-205ff0240e2f,Manual,content/azure-resources/storage/fileServices/recommendations.yaml,Set retention periods for the soft-delete feature,b92dc04e-8464-4352-aba6-205ff0240e2f,,UsageOptimization/OptimizeResources,Low,Microsoft.Compute/disks,Active,"Start with a short retention period to understand its billing impact. The minimum recommended period is seven days. Soft-deleted standard and premium file shares are billed as used capacity. Premium file shares are billed at the snapshot rate, while standard file shares are billed at the regular rate during the soft-delete state.
",Optimize cost,False,False,False,,"[{'name': 'How to enable soft delete on Azure file shares', 'url': 'https://learn.microsoft.com/en-us/azure/storage/files/storage-files-enable-soft-delete?tabs=azure-portal'}]",YAML,,,,
Use Resource Locks on Critical Resources,"Apply Resource Locks to prevent accidental deletion or modification of critical resources, which can lead to unplanned costs or downtime.
",Low,Cost,Microsoft.FinOpsToolkit,,Governance/ResourceProtection,Preview,Microsoft.Authorization/locks,be004a44-c027-4205-a14b-52dd3eb3a98e,Manual,content/azure-resources/CustomCost/recommendations.yaml,Use Resource Locks on Critical Resources,be004a44-c027-4205-a14b-52dd3eb3a98e,,Governance/ResourceProtection,Low,Microsoft.Authorization/locks,Active,"Apply Resource Locks to prevent accidental deletion or modification of critical resources, which can lead to unplanned costs or downtime.
",Compliance,False,False,False,,"[{'name': 'Azure Resource Locks overview', 'url': 'https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/lock-resources?tabs=json'}]",YAML,,,,
Use Management Groups for Hierarchical Organization,"Organize multiple subscriptions under Management Groups to apply consistent policies and access control across all resources. This enables easy management and enforcement of best practices.
",Low,Cost,Microsoft.FinOpsToolkit,,Governance/Compliance,Preview,Microsoft.management/managementgroups,106065c1-b217-4fc5-bae0-1fe6035bdc86,Manual,content/azure-resources/CustomCost/recommendations.yaml,Use Management Groups for Hierarchical Organization,106065c1-b217-4fc5-bae0-1fe6035bdc86,,Governance/Compliance,Low,Microsoft.management/managementgroups,Active,"Organize multiple subscriptions under Management Groups to apply consistent policies and access control across all resources. This enables easy management and enforcement of best practices.
","Governance, Compliance",False,False,False,,"[{'name': 'Azure management groups overview', 'url': 'https://learn.microsoft.com/en-us/azure/governance/management-groups/overview'}]",YAML,,,,
Apply Azure Policies to Standardize Resource Usage,"Define Azure Policies at the subscription or management group level to enforce resource configurations, such as requiring specific VM sizes, storage redundancy, or geographic regions, to prevent unnecessary costs.
",Low,Cost,Microsoft.FinOpsToolkit,,Governance/ResourceManagement,Preview,Microsoft.PolicyInsights,480d3a1a-4b76-4d58-a455-186e6b4c6e0d,Manual,content/azure-resources/CustomCost/recommendations.yaml,Apply Azure Policies to Standardize Resource Usage,480d3a1a-4b76-4d58-a455-186e6b4c6e0d,,Governance/ResourceManagement,Low,Microsoft.PolicyInsights,Active,"Define Azure Policies at the subscription or management group level to enforce resource configurations, such as requiring specific VM sizes, storage redundancy, or geographic regions, to prevent unnecessary costs.
","Governance, Compliance",False,False,False,,"[{'name': 'Azure Policy overview', 'url': 'https://learn.microsoft.com/en-us/azure/governance/policy/overview'}]",YAML,,,,
Use Azure Policy to Enforce Tags,"Enforce tagging compliance using Azure Policy, ensuring all resources are tagged appropriately from creation to avoid missing data in cost reporting.
",Low,Cost,Microsoft.FinOpsToolkit,,CostManagement/CostAllocation,Preview,Microsoft.PolicyInsights,4241cf7d-7051-4774-9fa1-85b1976a0677,Manual,content/azure-resources/CustomCost/recommendations.yaml,Use Azure Policy to Enforce Tags,4241cf7d-7051-4774-9fa1-85b1976a0677,,CostManagement/CostAllocation,Low,Microsoft.PolicyInsights,Active,"Enforce tagging compliance using Azure Policy, ensuring all resources are tagged appropriately from creation to avoid missing data in cost reporting.
","Governance, Cost allocation",False,False,False,,"[{'name': 'Assign policy definitions for tag compliance', 'url': 'https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-policies'}]",YAML,,,,
