"Id","Category","Control","Impact","ServiceName","ResourceType","Key","Message","State","Version","Description","LongDescription","Benefits","Tip","LearnMoreLink"
"3a3c1a2a-8597-4d3a-981a-0a24a0ee9de4","Performance",,"Medium","Virtual Machines","microsoft.compute/virtualmachines","AccelNetConfiguration","Enable Accelerated Networking to improve network performance and latency","Active","1","Enable Accelerated Networking to improve network performance and latency","We have detected that Accelerated Networking is not enabled on VM resources in your existing deployment that may be capable of supporting this feature. If your VM OS image supports Accelerated Networking as detailed in the documentation, make sure to enable this free feature on these VMs to maximize the performance and latency of your networking workloads in cloud","Improves performance throughput while reducing latency and jitter","Enable Accelerated Networking to improve network performance and latency.","https://docs.microsoft.com/azure/virtual-network/create-vm-accelerated-networking-cli#enable-accelerated-networking-on-existing-vms"
"a06456ed-afb7-4d16-86fd-0054e25268ed","Performance",,"Medium","Virtual Machines","microsoft.compute/virtualmachines","AccelNetDisengaged","Enable Accelerated Networking to improve network performance and latency","Active","2.1","Accelerated Networking may require stopping and starting the VM","We have detected that Accelerated Networking is not engaged on a VM resources in your existing deployment even though the feature has been requested. In rare cases like this, it may be necessary to stop and start your VM, at your convenience, to re-engage AccelNet.","Improves performance throughput while reducing latency and jitter","Accelerated Networking needs VM Stop then Start to improve network performance and latency.","https://docs.microsoft.com/azure/virtual-network/create-vm-accelerated-networking-cli#enable-accelerated-networking-on-existing-vms"
"9c0c3708-17f6-4108-9aff-f0e052c3cd41","Operational Excellence",,"Low","Azure App Service","microsoft.subscriptions/subscriptions","AzureApplicationService","Eliminate replica staging environments and ship new versions and features with zero downtime using deployment slots","Active","1.0","Set up staging environments in Azure App Service","Deploying an app to a slot first and swapping it into production makes sure that all instances of the slot are warmed up before being swapped into production. This eliminates downtime when you deploy your app. The traffic redirection is seamless, no requests are dropped because of swap operations.","Validate changes in a staging slot, then swap to production.",,"https://docs.microsoft.com/azure/app-service/deploy-staging-slots"
"1d3b5a51-62d4-4b77-96f6-40ed0a3aa21f","Operational Excellence",,"Low","Azure App Service","microsoft.web/sites","AzureAppService-StagingEnv","Eliminate  replica staging environments and ship new versions and features with zero downtime using deployment slots","Active","1.0","Set up staging environments in Azure App Service","Deploying an app to a slot first and swapping it into production makes sure that all instances of the slot are warmed up before being swapped into production. This eliminates downtime when you deploy your app. The traffic redirection is seamless, no requests are dropped because of swap operations.","Validate changes in a staging slot, then swap to production.",,"https://docs.microsoft.com/azure/app-service/deploy-staging-slots"
"3629448e-9b3e-4c5d-96ec-4760bbfde5ab","Performance",,"Medium","Microsoft Azure Attestation","microsoft.attestation/attestationproviders","UpgradeAttestationAPI","Update Attestation API","Active","2","Update Attestation API Version","We have identified API calls from outdated Attestation API for resources under this subscription. We recommend switching to the latest Attestation API versions. You need to update your existing code to use the latest API version. This ensures you receive the latest features and performance improvements.","Latest Attestation API contain fixes for known issues and additional improvements.","","https://docs.microsoft.com/rest/api/attestation"
"7fc8d697-5101-4dd2-abf5-32deac4b9cae","Performance",,"Medium","Microsoft Automanage","microsoft.compute/virtualmachines","UpdateToLatestApi","Update Automanage API","Active","5","Update Automanage to the latest API Version","We have identified sdk calls from outdated API for resources under this subscription. We recommend switching to the latest sdk versions. This ensures you receive the latest features and performance improvements.","Latest Automanage API contain fixes for known issues and additional improvements.",,"https://docs.microsoft.com/azure/automanage/reference-sdk"
"03290f58-8985-479f-8a38-ac7d803cff62","Performance",,"Medium","Microsoft Automanage","microsoft.hybridcompute/machines","UpdateToLatestApiHci","Update Automanage API","Active","5","Update Automanage to the latest API Version","We have identified sdk calls from outdated API for resources under this subscription. We recommend switching to the latest sdk versions. This ensures you receive the latest features and performance improvements.","Latest Automanage API contain fixes for known issues and additional improvements.",,"https://docs.microsoft.com/azure/automanage/reference-sdk"
"eeb4ed3e-4e9b-40b4-84fb-5514d0be0eda","Performance",,"High","Azure VMware Solution","microsoft.avs/privateclouds","vSANCapacity","Your vSAN utilization is high and out of SLA compliance","Active","1.1","vSAN capacity utilization has crossed critical threshold","Your vSAN capacity utilization has reached 75%. The cluster utilization is required to remain below the 75% critical threshold for SLA compliance. Please add new nodes to VSphere cluster to increase capacity or delete VMs to reduce consumption or adjust VM workloads","Maintain the health and performance of your vSAN operations","","https://docs.microsoft.com/azure/azure-vmware/concepts-private-clouds-clusters"
"dce06269-d180-402f-8c2a-744fa26a0adf","Operational Excellence",,"Medium","Azure CLI Tools - Azure CLI, PowerShell and Terraform","microsoft.subscriptions/subscriptions","UpgradeLatestAzureCLIVersion","Upgrade to the latest Azure CLI version","Disabled","2.2","Upgrade Azure CLI to the latest version","We have detected that one or more machines associated with your Azure subscription are using an outdated version of Azure CLI. To ensure the best possible experience, we recommend upgrading all machines to the latest version. Please wisely postpone or dismiss based on your business judgment.","Latest version will fix known security issues and feature bugs","Upgrade to the latest Azure CLI version","https://learn.microsoft.com/cli/azure/"
"bce95beb-3389-4e64-8863-d196cc2f69dc","Cost",,"Medium","Azure Data Explorer","microsoft.kusto/clusters","SkuChangeForAzureDataExplorer","Change to a more cost effective and better performing SKU","Active","2.3","Change Data Explorer clusters to a more cost effective and better performing SKU","You have resources operating under a nonoptimal SKU. We recommend migrating to a more cost effective and better performing SKU. This SKU should reduce your costs and improve overall performance. We have calculated the required instance count that meets both the CPU and cache of your cluster.","Optimize cost",,"https://aka.ms/clusterChooseSku"
"4e13bb59-a859-45b5-ab5a-19363a34084e","Cost",,"Medium","Azure Data Explorer","microsoft.kusto/clusters","Right-size for cost","Consider scaling resource to the recommended configuration","Disabled","5","Right-size Data Explorer resources for optimal cost","One or more of these were detected: Low data capacity, CPU utilization, or memory utilization. The recommended action to improve the performance is to scale down and/or scale in the resource to the recommended configuration shown.","Optimize cost",,"https://aka.ms/adxskusize"
"2397042e-4064-41ca-a50e-4e845051bb0b","Cost",,"Medium","Azure Data Explorer","microsoft.kusto/clusters","EnableOptimizedAutoscaleAzureDataExplorer","Enable Optimized Autoscale for Data Explorer resources.","Active","5.2","Enable Optimized Autoscale for Data Explorer resources","Looks like your resource could have automatically scaled to reduce costs (based on your actual usage during the last week, cache utilization, ingestion utilization, CPU, and streaming ingests utilization). To optimize costs and performance, we recommend enabling Optimized Autoscale. You are encouraged to choose the recommended minimum and maximum instance count that we have provided.","Optimize cost",,"https://aka.ms/adxoptimizedautoscale"
"d9c2f871-904e-4907-8572-0a33b0651f01","Cost",,"Medium","Azure Data Explorer","microsoft.kusto/clusters","ADX stopped resource","Consider deleting the resource","Active","5.1","Unused stopped Data Explorer resources","This recommendation surfaces all stopped Data Explorer resources that have been stopped for at least 60 days. Consider deleting the resources.","Optimize cost",,"https://aka.ms/adxunusedstoppedcluster"
"fa2649e9-e1a5-4d07-9b26-51c080d9a9ba","High Availability","Other","High","Azure Data Explorer","microsoft.kusto/clusters","ClusterFailedToInstallOrResumeDueVirtualNetwork","Resolve virtual network issues","Active","9.2","Resolve virtual network issues","Service failed to install or resume due to virtual network (VNet) issues. To resolve this issue, follow the steps in the troubleshooting guide. ","Improve reliability, availability, performance, and new feature capabilities",,"https://learn.microsoft.com/azure/data-explorer/vnet-deploy-troubleshoot"
"f011adf6-475a-48c9-bf26-8db051cb6964","Performance",,"Medium","Azure Data Explorer","microsoft.kusto/clusters","UpdateCachePoliciesForAdxTables","Query time range is too wide - Consider setting your cache period (policy) to the recommended value","Disabled","5.5","Review table cache policies for Data Explorer tables","This recommendation surfaces Data Explorer tables with a high number of queries that look back beyond the configured cache period (policy). (You'll see the top 10 tables by query percentage that access out-of-cache data). The recommended action to improve the performance: Limit queries on this table to the minimal necessary time range (within the defined policy). Alternatively, if data from the entire time range is required, increase the cache period to the recommended value.","Optimize performance",,"https://aka.ms/adxcachepolicy"
"f2bcadd1-713b-4acc-9810-4170a5d01dea","High Availability","Other","High","Azure Data Explorer","microsoft.kusto/clusters","SubnetIsMissingDelegationForKusto","Add subnet delegation for 'Microsoft.Kusto/clusters'","Active","12.2","Add subnet delegation for 'Microsoft.Kusto/clusters'","If a subnet isn’t delegated, the associated Azure service won’t be able to operate within it. Your subnet doesn’t have the required delegation. Delegate your subnet for 'Microsoft.Kusto/clusters'.","Improve reliability, availability, performance, and new feature capabilities",,"https://learn.microsoft.com/azure/virtual-network/subnet-delegation-overview"
